time_Myr shock_radius_over_R200 shock_speed_km_s mach_number postshock_pressure_erg_cm3 analytic_postshock_pressure_erg_cm3 ram_pressure_erg_cm3 postshock_to_ram_pressure analytic_postshock_to_ram_pressure postshock_temperature_K analytic_postshock_temperature_K cooling_time_Myr analytic_cooling_time_Myr gamma_eff gamma_eff_analytic gamma_critical
800 0.851512 0 7.3237136 6.1415378e-15 4.1971958e-15 5.6172064e-15 1.0933438 0.74720341 3629214.5 3075701.5 1318488.9 1429693.3 1.6664184 1.6664377 1.4285714
850 0.851512 0 7.3656897 6.1480336e-15 4.2651551e-15 5.7079151e-15 1.0771067 0.7472352 3629399.3 3116168 1317199.5 1441004.9 1.6664493 1.666468 1.4285714
900 0.851512 38.489157 8.0151215 6.1459678e-15 5.062479e-15 6.7710518e-15 0.90768288 0.74766509 3629399.3 3661940 1317648.1 1629962.5 1.6664748 1.6665115 1.4285714
950 0.86036943 38.489157 8.09453 5.9698656e-15 4.9135313e-15 6.571434e-15 0.90845706 0.74771067 3612614.7 3699260 1345659.6 1711071 1.6663689 1.6664325 1.4285714
1000 0.86036943 0 7.5376416 6.0788152e-15 4.2489009e-15 5.6852139e-15 1.0692325 0.7473599 3612614.7 3227768.7 1321219.3 1544580 1.6663769 1.6664188 1.4285714
1050 0.86036943 0 7.5846979 6.1823197e-15 4.2964957e-15 5.7486466e-15 1.0754392 0.74739256 3612614.7 3266310.5 1298805.6 1561133.6 1.6663981 1.6664432 1.4285714
1100 0.86036943 38.889521 8.2419204 6.2845514e-15 5.0813054e-15 6.7950802e-15 0.92486787 0.74779182 3612614.7 3829667.2 1277398.8 1760438 1.6664306 1.6664954 1.4285714
1150 0.869319 38.889521 8.2858076 6.1360309e-15 4.9646143e-15 6.6388255e-15 0.92426453 0.74781515 3496648 3868951.9 1233013.7 1835682.9 1.6663226 1.6664356 1.4285714
1200 0.869319 0 7.7113193 6.2358615e-15 4.2865722e-15 5.7347175e-15 1.0873877 0.74747748 3496648 3371211.2 1212975.2 1659340.9 1.6663272 1.6664185 1.4285714
1250 0.869319 0 7.7439265 6.3160307e-15 4.3121943e-15 5.768832e-15 1.0948543 0.74749868 3496648 3398505.9 1197346.3 1674107.3 1.6663341 1.6664288 1.4285714
1300 0.869319 0 7.782118 6.4218191e-15 4.3459856e-15 5.8138473e-15 1.1045731 0.74752317 3496648 3430621.4 1177326.1 1690019.8 1.666349 1.6664454 1.4285714
1350 0.869319 0 7.8211688 6.4862325e-15 4.3879576e-15 5.8698016e-15 1.1050173 0.74754784 3496648 3463622.8 1165459.1 1703477.2 1.6663793 1.6664701 1.4285714
1400 0.869319 0 7.8589686 6.5525046e-15 4.4331506e-15 5.9300701e-15 1.1049624 0.74757138 3496648 3495724.3 1153495.5 1714828.9 1.6664085 1.666493 1.4285714
1450 0.869319 39.29405 8.5137445 6.6099695e-15 5.2120281e-15 6.9685989e-15 0.94853638 0.74793057 3496648 4076338.6 1143317.8 1918795.3 1.6664355 1.6665289 1.4285714
1500 0.87836166 39.29405 8.5485976 6.202294e-15 5.0573917e-15 6.7616942e-15 0.91726922 0.74794741 3225041.8 4108545.2 1047533.4 2005278.6 1.6662728 1.6664609 1.4285714
1550 0.87836166 0 7.9584311 6.2880495e-15 4.3692958e-15 5.844182e-15 1.0759503 0.7476317 3225041.8 3580931.7 1032944.5 1817856.5 1.6662773 1.6664454 1.4285714
1600 0.87836166 0 7.9840909 6.3461958e-15 4.3861189e-15 5.8665647e-15 1.0817567 0.7476469 3225041.8 3603087.6 1023279.7 1830988.7 1.6662848 1.6664533 1.4285714
1650 0.87836166 0 8.0141214 6.403699e-15 4.411634e-15 5.9005529e-15 1.085271 0.7476645 3225041.8 3629108 1013896.7 1843958 1.6663096 1.6664703 1.4285714
1700 0.87836166 0 8.0458294 6.4614593e-15 4.4441628e-15 5.9439141e-15 1.0870714 0.74768287 3225041.8 3656687.9 1004642 1855358.2 1.6663386 1.666489 1.4285714
1750 0.87836166 0 8.0766025 6.5081649e-15 4.4787437e-15 5.9900237e-15 1.0865007 0.7477005 3225041.8 3683558.7 997280.22 1865226.5 1.6663673 1.6665066 1.4285714
1800 0.87836166 39.702787 8.7310803 6.545373e-15 5.2398394e-15 7.0048303e-15 0.93440851 0.74803232 3225041.8 4279318.6 991491.59 2077442 1.6663942 1.6665366 1.4285714
1850 0.88749838 39.702787 8.760116 5.6968039e-15 5.0843447e-15 6.7968403e-15 0.83815474 0.74804534 2793218.5 4306823.7 867836.04 2165355 1.6661908 1.6664759 1.4285714
1900 0.88749838 0 8.1618643 5.7456572e-15 4.4004711e-15 5.884963e-15 0.97632851 0.74774829 2793218.5 3758543.9 860212.56 1968870.1 1.6661961 1.6664611 1.4285714
1950 0.88749838 0 8.1836491 5.8454282e-15 4.4133318e-15 5.9020679e-15 0.99040342 0.74776026 2793218.5 3777829.2 845046.79 1981173 1.666198 1.6664668 1.4285714
