time_Myr shock_radius_over_R200 shock_speed_km_s mach_number postshock_pressure_erg_cm3 analytic_postshock_pressure_erg_cm3 ram_pressure_erg_cm3 postshock_to_ram_pressure analytic_postshock_to_ram_pressure postshock_temperature_K analytic_postshock_temperature_K cooling_time_Myr analytic_cooling_time_Myr gamma_eff gamma_eff_analytic gamma_critical
2000 0.88749838 0 8.2018399 5.9398343e-15 4.4231371e-15 5.9151022e-15 1.0041812 0.74777019 2793218.5 3793972.2 831174.41 1991907.7 1.6662042 1.6664737 1.4285714
2050 0.88749838 0 8.2254149 6.0282979e-15 4.4427437e-15 5.9412209e-15 1.0146564 0.74778295 2793218.5 3814946.7 818576.98 2002718.8 1.6662269 1.6664869 1.4285714
2100 0.88749838 0 8.2511173 6.1040215e-15 4.4677415e-15 5.97454e-15 1.0216722 0.74779674 2793218.5 3837882.4 808089.22 2012903.8 1.6662526 1.6665004 1.4285714
2150 0.88749838 0 8.2761809 6.1407267e-15 4.4938278e-15 6.0093171e-15 1.0218676 0.74781006 2793218.5 3860316.9 803100.34 2022108.7 1.6662801 1.6665131 1.4285714
2200 0.88749838 0 8.3006352 6.1603941e-15 4.5206944e-15 6.0451399e-15 1.0190656 0.74782295 2793218.5 3882271.6 800452.12 2030497.7 1.6663069 1.6665248 1.4285714
2250 0.88749838 40.115776 8.9555958 6.1771796e-15 5.2659788e-15 7.0388577e-15 0.87758268 0.74812974 2793218.5 4494374.6 798205.53 2251274.1 1.6663316 1.6665479 1.4285714
2300 0.89673015 40.115776 8.9396309 5.746053e-15 5.1048435e-15 6.8235346e-15 0.84209334 0.74812305 2591802.7 4518341 743934.56 2343560.1 1.6661149 1.6664915 1.4285714
2350 0.89673015 0 8.3339699 5.7593217e-15 4.4248542e-15 5.9168435e-15 0.9733774 0.74784033 2591802.7 3946753 742169 2136482.7 1.6661211 1.6664771 1.4285714
2400 0.89673015 0 8.3548356 5.7719203e-15 4.4372614e-15 5.9333488e-15 0.97279303 0.7478511 2591802.7 3965778.5 740500.25 2148801.2 1.6661275 1.6664809 1.4285714
2450 0.89673015 0 8.3728099 5.783946e-15 4.4467385e-15 5.9459479e-15 0.97275423 0.74786032 2591802.7 3982205.7 738914.3 2160032.8 1.6661341 1.6664845 1.4285714
2500 0.89673015 0 8.3901365 5.7952168e-15 4.4556464e-15 5.9577887e-15 0.97271271 0.74786915 2591802.7 3998074.4 737433.97 2171002.3 1.6661409 1.6664881 1.4285714
2550 0.89673015 0 8.4035701 5.8056814e-15 4.4609976e-15 5.9648898e-15 0.97330909 0.74787596 2591802.7 4010400.2 736064.77 2180286.7 1.6661526 1.6664931 1.4285714
2600 0.89673015 0 8.4202306 5.815883e-15 4.4716883e-15 5.9791174e-15 0.97269926 0.74788435 2591802.7 4025714.2 734734.81 2189853.3 1.6661705 1.6665002 1.4285714
2650 0.89673015 0 8.4402343 5.8258542e-15 4.4866386e-15 5.9990272e-15 0.97113315 0.74789437 2591802.7 4044141.1 733439.48 2200159.5 1.666188 1.6665071 1.4285714
2700 0.89673015 0 8.4598068 5.833841e-15 4.5013743e-15 6.0186517e-15 0.96929367 0.7479041 2591802.7 4062213.2 732405.18 2209941.2 1.6662047 1.6665136 1.4285714
2750 0.89673015 0 8.478965 5.8395982e-15 4.5157493e-15 6.0377957e-15 0.96717386 0.74791356 2591802.7 4079943.4 731661.4 2219567.8 1.6662202 1.6665195 1.4285714
2800 0.89673015 0 8.497721 5.8439193e-15 4.5297538e-15 6.0564459e-15 0.96490902 0.74792276 2591802.7 4097340.1 731104.13 2229053.2 1.6662349 1.6665251 1.4285714
2850 0.89673015 0 8.5160893 5.8476225e-15 4.5432672e-15 6.0744412e-15 0.96266015 0.74793171 2591802.7 4114414.4 730627.21 2238467.1 1.666248 1.66653 1.4285714
2900 0.89673015 0 8.5340821 5.850795e-15 4.5563002e-15 6.0917956e-15 0.9604385 0.74794042 2591802.7 4131175.4 730219.14 2247813.9 1.66626 1.6665346 1.4285714
2950 0.89673015 0 8.5517141 5.8534939e-15 4.5687194e-15 6.1083308e-15 0.95828044 0.74794891 2591802.7 4147634.7 729872.33 2257170.8 1.6662706 1.6665386 1.4285714
3000 0.89673015 0 8.5689956 5.855631e-15 4.580637e-15 6.1241969e-15 0.95614676 0.74795717 2591802.7 4163799.6 729597.95 2266490.5 1.6662801 1.6665422 1.4285714
3050 0.89673015 0 8.5859408 5.8572753e-15 4.5919424e-15 6.1392457e-15 0.95407084 0.74796523 2591802.7 4179681.8 729386.97 2275839.3 1.6662883 1.6665454 1.4285714
3100 0.89673015 0 8.6025612 5.8582516e-15 4.602594e-15 6.153422e-15 0.95203151 0.74797308 2591802.7 4195289.8 729261.76 2285247 1.6662953 1.6665482 1.4285714
3150 0.89673015 0 8.6188699 5.8584341e-15 4.6126086e-15 6.1667477e-15 0.95000385 0.74798075 2591802.7 4210634.6 729238.36 2294716.8 1.6663014 1.6665506 1.4285714
3200 0.89673015 0 8.6348744 5.8611242e-15 4.6220437e-15 6.1793e-15 0.94850941 0.74798823 2591802.7 4225721.4 728893.6 2304226.6 1.6663062 1.6665526 1.4285714
3250 0.89673015 0 8.6505886 5.8630105e-15 4.6307463e-15 6.1908743e-15 0.9470408 0.74799553 2591802.7 4240561.8 728652.05 2313864.5 1.6663098 1.6665543 1.4285714
3300 0.89673015 0 8.6660208 5.8627653e-15 4.6388437e-15 6.2016406e-15 0.94535715 0.74800266 2591802.7 4255161.9 728683.44 2323574.9 1.6663129 1.6665557 1.4285714
3350 0.89673015 0 8.6811804 5.8600481e-15 4.6462362e-15 6.2114658e-15 0.94342436 0.74800963 2591802.7 4269529.7 729031.47 2333416.3 1.6663149 1.6665568 1.4285714
3400 0.89673015 0 8.6960762 5.8550243e-15 4.6530088e-15 6.2204632e-15 0.94125214 0.74801644 2591802.7 4283671.8 729675.82 2343354.8 1.6663165 1.6665576 1.4285714
3450 0.89673015 0 8.7107137 5.8475715e-15 4.6592324e-15 6.228728e-15 0.9388067 0.7480231 2591802.7 4297592.3 730633.77 2353360.4 1.6663173 1.6665582 1.4285714
3500 0.89673015 0 8.7251011 5.8434346e-15 4.6649038e-15 6.2362555e-15 0.93701014 0.74802962 2591802.7 4311297.7 731166.6 2363442.7 1.6663173 1.6665586 1.4285714
3550 0.89673015 0 8.7392432 5.8392653e-15 4.6702001e-15 6.2432826e-15 0.93528768 0.74803599 2591802.7 4324791.5 731704.37 2373517.5 1.666317 1.6665589 1.4285714
3600 0.89673015 0 8.753144 5.8349023e-15 4.6751908e-15 6.2499023e-15 0.93359896 0.74804222 2591802.7 4338076.4 732267.95 2383553.1 1.6663164 1.6665591 1.4285714
3650 0.89673015 0 8.7668106 5.8301328e-15 4.6798851e-15 6.2561268e-15 0.93190771 0.74804832 2591802.7 4351158 732885.04 2393551.1 1.6663156 1.6665592 1.4285714
3700 0.89673015 0 8.7802481 5.8247915e-15 4.6842982e-15 6.2619762e-15 0.93018423 0.74805429 2591802.7 4364040.2 733577.32 2403508.1 1.6663146 1.6665592 1.4285714
3750 0.89673015 0 8.7934629 5.8188833e-15 4.6884319e-15 6.2674532e-15 0.92842868 0.74806014 2591802.7 4376728.2 734344.58 2413428.7 1.6663134 1.6665592 1.4285714
3800 0.89673015 0 8.8064594 5.8125263e-15 4.6923017e-15 6.2725784e-15 0.92665662 0.74806586 2591802.7 4389225.1 735171.9 2423308.9 1.6663121 1.6665591 1.4285714
3850 0.89673015 0 8.8192423 5.8064147e-15 4.695961e-15 6.277423e-15 0.92496788 0.74807146 2591802.7 4401534.7 735969.02 2433125.3 1.6663106 1.666559 1.4285714
3900 0.89673015 0 8.8318147 5.7997054e-15 4.6994165e-15 6.2819961e-15 0.92322652 0.74807695 2591802.7 4413659 736846.07 2442876.8 1.6663091 1.6665588 1.4285714
3950 0.89673015 0 8.8441814 5.7917313e-15 4.7026579e-15 6.286284e-15 0.9213283 0.74808232 2591802.7 4425601.7 737891.14 2452572.5 1.6663075 1.6665586 1.4285714
4000 0.89673015 0 8.8563451 5.7824352e-15 4.7056599e-15 6.2902526e-15 0.91926916 0.74808758 2591802.7 4437364.7 739113.17 2462227.9 1.6663059 1.6665584 1.4285714
