time_Myr shock_radius_kpc shock_radius_over_R200 density_ratio temperature_ratio velocity_inner_km_s velocity_outer_km_s
800 378.4206 0.851512 2.6671719 13.44665 -206.22414 -462.22762
850 378.4206 0.851512 2.8319355 13.454217 -182.95923 -462.24107
900 378.4206 0.851512 3.011053 13.454217 -166.78947 -461.96803
950 382.35694 0.86036943 2.8165064 12.233745 -223.55513 -475.85046
1000 382.35694 0.86036943 3.005488 12.58289 -209.11862 -478.13036
1050 382.35694 0.86036943 3.172633 13.193894 -196.51245 -479.18932
1100 382.35694 0.86036943 3.2947123 13.569225 -184.64454 -478.56509
1150 386.33422 0.869319 2.8096775 11.047062 -249.05345 -487.80509
1200 386.33422 0.869319 2.9670983 11.469726 -236.30586 -490.17676
1250 386.33422 0.869319 3.1209183 11.821945 -224.80882 -492.24946
1300 386.33422 0.869319 3.2640669 12.491162 -214.00093 -493.59729
1350 386.33422 0.869319 3.3760562 12.825771 -203.41342 -493.63585
1400 386.33422 0.869319 3.4759442 13.133963 -193.79727 -493.10163
1450 386.33422 0.869319 3.5672127 13.371711 -184.98524 -492.05802
1500 390.35287 0.87836166 2.9952205 11.214366 -251.26874 -504.10503
1550 390.35287 0.87836166 3.1287715 11.548975 -241.0574 -505.88464
1600 390.35287 0.87836166 3.2606624 11.865973 -231.53594 -507.51572
1650 390.35287 0.87836166 3.3751824 12.447135 -221.6886 -508.01221
1700 390.35287 0.87836166 3.4729402 12.764132 -212.44742 -507.8713
1750 390.35287 0.87836166 3.5645498 13.037103 -203.91216 -507.30923
1800 390.35287 0.87836166 3.6500696 13.248434 -196.00982 -506.37656
1850 394.41332 0.88749838 2.9780216 11.196755 -265.58667 -517.14165
1900 394.41332 0.88749838 3.0950461 11.496142 -256.45494 -518.81605
1950 394.41332 0.88749838 3.2099375 11.760307 -247.91985 -520.20081
2000 394.41332 0.88749838 3.3212411 12.112526 -239.89945 -521.35713
2050 394.41332 0.88749838 3.4144848 12.482357 -231.80069 -521.63582
2100 394.41332 0.88749838 3.4975744 12.72891 -224.27954 -521.58672
2150 394.41332 0.88749838 3.5758458 12.949048 -217.38873 -521.30498
2200 394.41332 0.88749838 3.6488378 13.107546 -211.09813 -520.83328
2250 394.41332 0.88749838 3.7161209 13.230823 -205.34212 -520.19416
2300 398.51601 0.89673015 2.9722535 11.161534 -278.92477 -530.63608
2350 398.51601 0.89673015 3.0575426 11.390476 -272.44253 -532.08335
2400 398.51601 0.89673015 3.1391029 11.575391 -266.48974 -533.41553
2450 398.51601 0.89673015 3.2168597 11.742696 -261.04563 -534.5631
2500 398.51601 0.89673015 3.2905007 11.883584 -256.07267 -535.66932
2550 398.51601 0.89673015 3.3576488 12.032986 -251.48986 -536.52699
2600 398.51601 0.89673015 3.4127431 12.190102 -247.141 -537.04499
2650 398.51601 0.89673015 3.4628871 12.32976 -243.18362 -537.48907
2700 398.51601 0.89673015 3.5094449 12.460689 -239.64974 -537.88756
2750 398.51601 0.89673015 3.5524459 12.556704 -236.53078 -538.26971
2800 398.51601 0.89673015 3.591259 12.670176 -233.73873 -538.62072
2850 398.51601 0.89673015 3.6267009 12.748734 -231.33289 -538.99096
2900 398.51601 0.89673015 3.6581683 12.801106 -229.23247 -539.35701
2950 398.51601 0.89673015 3.686711 12.862206 -227.46119 -539.76324
3000 398.51601 0.89673015 3.7114474 12.905849 -225.96277 -540.18638
3050 398.51601 0.89673015 3.7331181 12.949492 -224.76458 -540.65222
3100 398.51601 0.89673015 3.7521302 12.984407 -223.86835 -541.18056
3150 398.51601 0.89673015 3.7680005 13.02805 -223.20793 -541.74664
3200 398.51601 0.89673015 3.7808104 13.045507 -222.81985 -542.37271
3250 398.51601 0.89673015 3.7914494 13.054236 -222.70659 -543.08072
3300 398.51601 0.89673015 3.7989617 13.071693 -222.83007 -543.82427
3350 398.51601 0.89673015 3.8041341 13.080422 -223.20762 -544.66668
3400 398.51601 0.89673015 3.8064079 13.08915 -223.83476 -545.53939
3450 398.51601 0.89673015 3.8057987 13.08915 -224.72783 -546.48074
3500 398.51601 0.89673015 3.8021278 13.106608 -225.86184 -547.45934
3550 398.51601 0.89673015 3.7944884 13.124065 -227.1987 -548.4522
3600 398.51601 0.89673015 3.7830105 13.132794 -228.74262 -549.45438
3650 398.51601 0.89673015 3.7679802 13.158979 -230.50923 -550.46648
3700 398.51601 0.89673015 3.7492335 13.167708 -232.48294 -551.48421
3750 398.51601 0.89673015 3.72715 13.202623 -234.70992 -552.50895
3800 398.51601 0.89673015 3.7019772 13.254994 -236.94703 -553.53449
3850 398.51601 0.89673015 3.6741616 13.289909 -239.28345 -554.55332
3900 398.51601 0.89673015 3.6437869 13.333552 -241.74447 -555.5648
3950 398.51601 0.89673015 3.6109382 13.377195 -244.4358 -556.57064
4000 398.51601 0.89673015 3.5756294 13.41211 -247.29489 -557.57147
