time_Myr shock_radius_kpc shock_radius_over_R200 density_ratio temperature_ratio velocity_inner_km_s velocity_outer_km_s
0 374.52479 0.84274576 1.2689751 2.7637388 -285.74937 -356.95196
100 366.85309 0.82548308 1.6601272 4.6391998 -239.15589 -367.14588
200 366.85309 0.82548308 2.1181516 9.1560219 -236.84885 -399.28307
300 366.85309 0.82548308 2.5329919 13.901545 -217.23313 -418.79942
400 366.85309 0.82548308 2.8128691 14.230955 -185.23504 -426.72336
500 370.66909 0.83406976 2.6401929 15.466719 -210.11206 -441.47419
600 374.52479 0.84274576 2.4555077 14.536242 -235.52556 -451.88099
700 374.52479 0.84274576 2.7704541 13.231102 -188.11844 -452.01565
800 378.4206 0.851512 2.6671719 13.44665 -206.22414 -462.22762
