case,time_proper_Myr,front_radius_proper_kpc,analytic_radius_proper_kpc,absolute_error_proper_kpc
c2ray_20,0.0,0.0,0.0,0.0
c2ray_20,2.5,1.4885941546373955,1.46942717599688,0.01916697864051553
c2ray_20,5.0,1.8613732396603322,1.8451000702022484,0.01627316945808377
c2ray_20,7.5,2.1298290274719687,2.104992603735675,0.02483642373629369
c2ray_20,10.0,2.2847700364903876,2.3090610643588896,0.024291027868502013
c2ray_20,12.5,2.4925009113913394,2.4790334661269986,0.01346744526434085
c2ray_20,15.0,2.6058674762363276,2.6255772846226946,0.019709808386366934
c2ray_20,17.5,2.780612324363325,2.7548255622101285,0.02578676215319664
c2ray_20,20.0,2.8556482010567747,2.8706714244179414,0.015023223361166682
c2ray_20,22.5,2.9875591044208636,2.975761292233759,0.01179781218710474
c2ray_20,25.0,3.098890488228968,3.0719870379078333,0.026903450321134503
c2ray_20,27.5,3.1549668014661463,3.1607544552591955,0.005787653793049241
c2ray_20,30.0,3.231648704427989,3.243140682863595,0.011491978435605787
c2ray_20,32.5,3.354566181114357,3.3199918775247856,0.034574303589571365
c2ray_20,35.0,3.419534377329241,3.3919866356878425,0.027547741641398282
c2ray_20,37.5,3.4615198755578267,3.45967874570826,0.0018411298495668582
c2ray_20,40.0,3.512641114250465,3.5235269264221465,0.010885812171681497
c2ray_20,42.5,3.6009968887359465,3.583916073697149,0.017080815038797326
c2ray_20,45.0,3.6836228473643597,3.641172793622512,0.04245005374184796
c2ray_20,47.5,3.729718731888203,3.6955769888701964,0.034141743018006654
c2ray_20,50.0,3.7621424418726805,3.747370654879465,0.014771786993215574
instantaneous_20,0.0,0.0,0.0,0.0
instantaneous_20,0.002381153634116409,0.0,0.14506822792180699,0.14506822792180699
instantaneous_20,0.004546729496743036,0.0,0.1799733737804115,0.1799733737804115
instantaneous_20,0.006516887702906143,0.0,0.20291810563091275,0.20291810563091275
instantaneous_20,0.008310165002969218,0.0,0.2200440053223049,0.2200440053223049
instantaneous_20,0.00994364078144671,0.0,0.23360770799973155,0.23360770799973155
instantaneous_20,0.011433068412916284,0.0,0.24473274368550216,0.24473274368550216
instantaneous_20,0.012792974058937255,0.0,0.2540743638678571,0.2540743638678571
instantaneous_20,0.014036728593178354,0.25120245990343476,0.2620544700938994,0.010852010190464667
instantaneous_20,0.015176600724630831,0.26971240609140945,0.2689637594642161,0.0007486466271933723
instantaneous_20,0.016223800000716323,0.2843342750129201,0.2750125452159791,0.009321729796940958
