time_Myr shock_radius_kpc shock_radius_over_R200 density_ratio temperature_ratio velocity_inner_km_s velocity_outer_km_s
0 172.04935 0.83406976 1.3138168 2.4099958 -119.77524 -160.0971
100 168.52512 0.8169848 2.2322917 5.6720366 -83.56356 -175.68559
200 170.27812 0.82548308 2.7666822 8.3357147 -82.541152 -195.14046
300 173.83901 0.84274576 2.5186475 8.9255158 -101.02106 -207.54786
400 175.64728 0.851512 2.7076834 8.0702989 -85.004059 -209.61456
500 179.32046 0.869319 2.607821 8.0067872 -94.035281 -216.7884
600 183.07045 0.88749838 2.5525457 7.6179122 -98.199591 -221.39951
700 186.89885 0.90605794 2.5684151 7.2506136 -95.517059 -223.94596
800 190.80732 0.92500561 2.6509232 6.8170051 -85.013907 -223.83097
