RADIUS_PC,VELOCITY_cgs_KMS,DENSITY_CM3,TEMP_cgs_K
16.046094,-0.10486943,100.33533,99.778568
16.085156,-0.10461645,100.3337,99.779632
16.124219,-0.10436468,100.33209,99.780688
16.163281,-0.10411411,100.33048,99.781737
16.202344,-0.10386474,100.32889,99.782779
16.241406,-0.10361656,100.32731,99.783813
16.280469,-0.10336956,100.32574,99.784839
16.319531,-0.10312372,100.32419,99.785859
16.358594,-0.10287905,100.32264,99.786871
16.397656,-0.10263554,100.3211,99.787876
16.436719,-0.10239317,100.31958,99.788874
16.475781,-0.10215194,100.31806,99.789865
16.514844,-0.10191184,100.31656,99.790849
16.553906,-0.10167286,100.31507,99.791826
16.592969,-0.101435,100.31359,99.792796
16.632031,-0.10119825,100.31212,99.79376
16.671094,-0.10096259,100.31066,99.794717
16.710156,-0.10072803,100.3092,99.795667
16.749219,-0.10049454,100.30776,99.796611
16.788281,-0.10026214,100.30633,99.797548
16.827344,-0.10003081,100.30491,99.798479
16.866406,-0.099800533,100.3035,99.799403
16.905469,-0.099571314,100.3021,99.800321
16.944531,-0.099343143,100.30071,99.801233
16.983594,-0.099116012,100.29933,99.802138
17.022656,-0.098889914,100.29796,99.803038
17.061719,-0.098664842,100.29659,99.803931
17.100781,-0.09844079,100.29524,99.804818
17.139844,-0.09821775,100.2939,99.8057
17.178906,-0.097995715,100.29256,99.806575
17.217969,-0.097774679,100.29123,99.807444
17.257031,-0.097554635,100.28992,99.808308
17.296094,-0.097335576,100.28861,99.809166
17.335156,-0.097117497,100.28731,99.810018
17.374219,-0.096900389,100.28602,99.810864
17.413281,-0.096684247,100.28474,99.811705
17.452344,-0.096469065,100.28346,99.81254
17.491406,-0.096254835,100.2822,99.81337
17.530469,-0.096041552,100.28094,99.814194
17.569531,-0.09582921,100.2797,99.815013
17.608594,-0.095617802,100.27846,99.815826
17.647656,-0.095407322,100.27722,99.816634
17.686719,-0.095197765,100.276,99.817437
17.725781,-0.094989123,100.27479,99.818235
17.764844,-0.094781391,100.27358,99.819027
17.803906,-0.094574564,100.27238,99.819814
17.842969,-0.094368634,100.27119,99.820596
17.882031,-0.094163598,100.27,99.821373
17.921094,-0.093959448,100.26883,99.822145
17.960156,-0.09375618,100.26766,99.822912
17.999219,-0.093553787,100.2665,99.823674
18.038281,-0.093352265,100.26535,99.824432
18.077344,-0.093151609,100.2642,99.825184
18.116406,-0.092951815,100.26306,99.825932
18.155469,-0.092752879,100.26193,99.826675
18.194531,-0.092554799,100.26081,99.827415
18.233594,-0.092357575,100.2597,99.82815
18.272656,-0.092161207,100.2586,99.828882
18.311719,-0.091965703,100.2575,99.82961
18.350781,-0.091771071,100.25642,99.830337
18.389844,-0.091577329,100.25535,99.831064
18.428906,-0.0913845,100.25429,99.831791
18.467969,-0.091192621,100.25325,99.832521
