time_proper_Myr,shell_radius_proper_pc,wind_pressure_proper_cgs_dyn_cm2,gas_pressure_proper_cgs_dyn_cm2,pressure_ratio
0.000000000000000000e+00,8.312499999999999334e-01,7.621298652616759006e-11,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,3.643749999999999822e+00,3.966387610841711545e-12,4.437365223838083981e-10,8.938609762238588358e-03
5.000000000000000278e-02,3.956249999999999822e+00,3.364533387892800466e-12,4.438631093402996329e-10,7.580114943306293096e-03
