0.007882,-4.85106
0.010698,-4.59043
0.013524,-4.36702
0.019214,-4.08511
0.028753,-3.84043
0.03923,-3.51064
0.048762,-3.23936
0.061191,-3.04255
0.077448,-2.80319
0.095636,-2.6117
0.117663,-2.42021
0.143523,-2.20213
0.172273,-2.03191
0.211568,-1.81383
0.244155,-1.6383
0.286334,-1.44149
0.328511,-1.23404
0.350535,-1.03191
0.368728,-0.85638
0.386899,-0.59574
0.401249,-0.40426
0.410814,-0.27128
0.428047,-0.10106
0.475053,-0.02128
0.552786,-0.01064
0.635321,-0.01596
0.684265,-0.01596
0.738965,-0.00532
0.785029,0
0.8167,-0.00532
0.865644,-0.00532
0.905951,-0.00532
0.937621,-0.00532
0.96545,0.00532
0.984644,0.00532
