0.01802,0.1608
0.04144,0.6172
0.06847,0.9121
0.08829,1.2611
0.11892,1.7172
0.14234,2.0661
0.17117,2.4685
0.20541,3.0052
0.23423,3.4883
0.26667,3.9176
0.3027,4.4811
0.34775,5.0175
0.37477,5.4738
0.39459,5.984
0.40541,6.6827
0.41261,7.3007
0.41441,7.8921
0.41622,8.4028
0.42162,9.1553
0.42523,10.4456
0.42703,10.9294
0.43243,11.3325
0.43964,10.6602
0.44144,9.8537
0.44505,9.1009
0.44865,7.2998
0.45045,6.4664
0.45586,4.934
0.45946,4.1006
0.46126,3.1596
0.46486,1.7348
0.46667,1.1971
0.47027,0.6056
0.47928,0.1215
0.51712,0.013
0.55315,0.012
0.59099,0.011
0.62523,0.037
0.66667,0.009
0.7045,0.0079
0.74234,0.0069
0.78559,-0.0211
0.83604,0.0313
0.88288,0.0031
0.92613,-0.0518
0.96937,-0.0261
