0.0405,-14.75278
0.0852,-14.74833
0.1257,-14.74833
0.16341,-14.74833
0.2067,-14.74388
0.25978,-14.73497
0.31564,-14.71715
0.36592,-14.70824
0.40363,-14.68597
0.43156,-14.65924
0.45112,-14.73942
0.47346,-14.78396
0.49162,-14.74388
0.50698,-14.82851
0.51397,-15.00223
0.52514,-15.16704
0.56006,-15.39866
0.58101,-15.53229
0.61453,-15.68374
0.63547,-15.79955
0.66341,-15.88419
0.68436,-15.95991
0.71229,-16.04454
0.73743,-16.14254
0.78492,-16.24053
0.82123,-16.34744
0.86173,-16.42762
0.89804,-16.49443
0.93994,-16.55679
0.97765,-16.6147
0.99441,-16.64143
