0.01264,-3.40532
0.05054,-3.3887
0.07942,-3.37874
0.09928,-3.35548
0.12635,-3.34219
0.16426,-3.31894
0.19856,-3.30233
0.23646,-3.27243
0.27617,-3.24917
0.30866,-3.22259
0.34296,-3.19269
0.38087,-3.15615
0.40614,-3.09967
0.41336,-3.04983
0.41516,-2.98671
0.42058,-2.90698
0.42419,-2.84385
0.42599,-2.73754
0.43321,-2.63123
0.44585,-2.6113
0.44946,-2.67442
0.45307,-2.73422
0.45668,-2.80066
0.45848,-2.85382
0.4639,-2.90033
0.46751,-2.95017
0.47292,-2.99003
0.50181,-3.00332
0.52347,-3
0.55415,-3
0.58845,-3
0.63177,-3.00332
0.67148,-3
0.70939,-3
0.73466,-2.99668
0.77978,-3.00332
0.81227,-3.00332
0.86101,-3.00332
0.88628,-3.00332
0.91155,-3.00332
0.93863,-3
0.9657,-3
0.99278,-3
