time_Myr,no_wind_thermal_cgs_erg,no_wind_kinetic_cgs_erg,no_wind_total_cgs_erg,wind_thermal_cgs_erg,wind_kinetic_cgs_erg,wind_total_cgs_erg,wind_minus_no_wind_cgs_erg,relative_difference
0.000000000000000000e+00,2.038941242258835168e+48,0.000000000000000000e+00,2.038941242258835168e+48,2.054259431105109409e+48,3.264366154898301802e+45,2.057523797260007848e+48,1.858255500117267945e+46,9.113825654233199611e-03
1.999999999999999833e-01,1.022564355275545225e+49,2.398099934062256174e+48,1.262374348681770842e+49,1.086552160895806991e+49,2.550291472366901657e+48,1.341581308132497221e+49,7.920695945072637880e+47,6.274443039296379032e-02
3.999999999999999667e-01,1.868030129285342665e+49,4.794989669179469560e+48,2.347529096203289816e+49,1.894885217255468097e+49,4.833417077277105187e+48,2.378226924983178551e+49,3.069782877988873519e+47,1.307665529238253264e-02
5.999999999999999778e-01,2.567442376028151241e+49,6.907720669884461225e+48,3.258214443016597363e+49,2.670506035261852348e+49,7.150262161383533238e+48,3.385532251400205931e+49,1.273178083836085680e+48,3.907594500309567731e-02
7.999999999999999334e-01,3.182779494859621782e+49,9.070313828043858633e+48,4.089810877664007386e+49,3.392540286879801879e+49,9.476357768570952504e+48,4.340176063736896870e+49,2.503651860728894839e+48,6.121681260134246433e-02
1.000000000000000000e+00,3.820893660997489005e+49,1.127379957836732098e+49,4.948273618834221233e+49,4.105853690776979915e+49,1.178838945410355640e+49,5.284692636187335555e+49,3.364190173531143222e+48,6.798714931054526678e-02
