case,time_proper_Myr,front_radius_proper_kpc,analytic_radius_proper_kpc,absolute_error_proper_kpc
instantaneous_100000,244.06437531953793,5.233846270419333,5.136594913105382,0.09725135731395085
instantaneous_100000,244.06937531953793,5.23385770975935,5.136605930373548,0.0972517793858021
instantaneous_100000,244.07437531953792,5.233869148937526,5.136616947144221,0.09725220179330485
instantaneous_100000,244.07937531953792,5.2338805879538794,5.1366279634174274,0.097252624536452
instantaneous_100000,244.0843753195379,5.233892026810273,5.13663897919319,0.09725304761708298
instantaneous_100000,244.0893753195379,5.233903465507507,5.136649994471535,0.09725347103597226
instantaneous_100000,244.09437531953793,5.233914904046918,5.136661009252485,0.09725389479443258
instantaneous_100000,244.09937531953793,5.233926342429048,5.136672023536067,0.09725431889298086
instantaneous_100000,244.10437531953792,5.233937780655224,5.136683037322306,0.09725474333291828
instantaneous_100000,244.10937531953792,5.23394921872678,5.136694050611226,0.09725516811555401
instantaneous_100000,244.1143753195379,5.233960656644784,5.136705063402849,0.09725559324193433
instantaneous_100000,244.1193753195379,5.233972094409777,5.136716075697204,0.0972560187125735
instantaneous_100000,244.12437531953793,5.233983532023352,5.136727087494312,0.09725644452904003
instantaneous_100000,244.12937531953793,5.233994969486316,5.136738098794201,0.09725687069211553
instantaneous_100000,244.13437531953792,5.234006406800262,5.1367491095968925,0.0972572972033694
instantaneous_100000,244.13937531953792,5.234017843965721,5.136760119902414,0.09725772406330702
instantaneous_100000,244.14437531953791,5.234029280984034,5.136771129710787,0.09725815127324644
instantaneous_100000,244.1493753195379,5.234040717856258,5.13678213902204,0.09725857883421796
instantaneous_100000,244.15437531953793,5.234052154583461,5.136793147836195,0.09725900674726606
instantaneous_100000,244.15937531953793,5.234063591166446,5.1368041561532785,0.09725943501316792
instantaneous_100000,244.16437531953792,5.234075027606805,5.136815163973313,0.09725986363349204
instantaneous_100000,244.16937531953792,5.234086463905601,5.136826171296325,0.09726029260927582
instantaneous_100000,244.17437531953792,5.234097900063639,5.136837178122337,0.09726072194130175
instantaneous_100000,244.1793753195379,5.2341093360819775,5.136848184451376,0.0972611516306019
instantaneous_100000,244.18437531953793,5.2341207719616865,5.136859190283466,0.09726158167822074
instantaneous_100000,244.18937531953793,5.2341322077040875,5.136870195618631,0.09726201208545682
instantaneous_100000,244.19437531953793,5.234143643309986,5.136881200456897,0.09726244285308905
instantaneous_100000,244.19937531953792,5.234155078780703,5.136892204798287,0.09726287398241595
instantaneous_100000,244.20437531953792,5.234166514117303,5.136903208642826,0.0972633054744767
instantaneous_100000,244.2093753195379,5.234177949320586,5.13691421199054,0.09726373733004667
instantaneous_100000,244.2143753195379,5.234189384392142,5.136925214841453,0.09726416955068906
instantaneous_100000,244.21937531953793,5.234200819332506,5.136936217195589,0.09726460213691723
instantaneous_100000,244.22437531953793,5.234212254143267,5.136947219052973,0.0972650350902935
instantaneous_100000,244.22937531953792,5.234223688825223,5.1369582204136295,0.09726546841159323
instantaneous_100000,244.23437531953792,5.234235123379432,5.136969221277584,0.0972659021018476
instantaneous_100000,244.2393753195379,5.2342465578069595,5.136980221644861,0.09726633616209845
instantaneous_100000,244.2443753195379,5.234257992109127,5.136991221515483,0.09726677059364341
instantaneous_100000,244.24937531953793,5.234269426286733,5.137002220889479,0.09726720539725431
instantaneous_100000,244.25437531953793,5.234280860341101,5.137013219766869,0.09726764057423143
instantaneous_100000,244.25937531953792,5.234292294273026,5.13702421814768,0.0972680761253466
instantaneous_100000,244.26437531953792,5.234303728083572,5.137035216031936,0.09726851205163545
instantaneous_100000,244.26937531953791,5.2343151617740595,5.137046213419662,0.09726894835439737
instantaneous_100000,244.2743753195379,5.234326595345545,5.137057210310884,0.09726938503466087
instantaneous_100000,244.27937531953793,5.23433802879909,5.1370682067056235,0.0972698220934669
instantaneous_100000,244.28437531953793,5.234349462135753,5.137079202603909,0.09727025953184398
instantaneous_100000,244.28937531953792,5.234360895356591,5.137090198005762,0.0972706973508295
instantaneous_100000,244.29437531953792,5.2343723284626655,5.137101192911207,0.09727113555145817
instantaneous_100000,244.29937531953792,5.234383761455032,5.1371121873202705,0.09727157413476117
instantaneous_100000,244.3043753195379,5.23439519433501,5.137123181232977,0.09727201310203348
instantaneous_100000,244.30937531953793,5.234406627103397,5.13713417464935,0.09727245245404692
instantaneous_100000,244.31437531953793,5.234418059761248,5.137145167569415,0.09727289219183355
instantaneous_100000,244.31937531953793,5.234429492309882,5.137156159993196,0.09727333231668656
instantaneous_100000,244.32437531953792,5.234440924750357,5.137167151920718,0.09727377282963978
instantaneous_100000,244.32937531953792,5.234452357083468,5.137178143352006,0.0972742137314615
instantaneous_100000,244.3343753195379,5.234463789310532,5.137189134287084,0.09727465502344845
instantaneous_100000,244.3393753195379,5.234475221432868,5.137200124725976,0.09727509670689205
instantaneous_100000,244.34437531953793,5.2344866534512695,5.137211114668709,0.09727553878256057
instantaneous_100000,244.34937531953793,5.2344980853662655,5.137222104115305,0.09727598125096026
instantaneous_100000,244.35437531953792,5.234509517179699,5.13723309306579,0.09727642411390924
instantaneous_100000,244.35937531953792,5.234520948892363,5.137244081520189,0.097276867372174
instantaneous_100000,244.3643753195379,5.234532380505575,5.137255069478525,0.0972773110270504
instantaneous_100000,244.3693753195379,5.234543812020125,5.137266056940823,0.09727775507930225
instantaneous_100000,244.37437531953793,5.234555243437069,5.13727704390711,0.09727819952995898
instantaneous_100000,244.37937531953793,5.234566674757723,5.137288030377408,0.09727864438031464
instantaneous_100000,244.38437531953792,5.2345781059831396,5.137299016351743,0.09727908963139686
instantaneous_100000,244.38937531953792,5.234589537114109,5.137310001830138,0.09727953528397126
instantaneous_100000,244.39437531953791,5.234600968151949,5.137320986812618,0.09727998133933102
instantaneous_100000,244.3993753195379,5.234612399097711,5.13733197129921,0.0972804277985011
instantaneous_100000,244.40437531953793,5.234623829952447,5.1373429552899355,0.09728087466251178
instantaneous_100000,244.40937531953793,5.23463526071721,5.137353938784821,0.09728132193238981
instantaneous_100000,244.41437531953792,5.234646691393054,5.137364921783891,0.0972817696091628
instantaneous_100000,244.41937531953792,5.234658121981289,5.137375904287168,0.09728221769412038
instantaneous_100000,244.42437531953792,5.234669552482707,5.1373868862946805,0.09728266618802639
instantaneous_100000,244.4293753195379,5.234680982898357,5.137397867806449,0.09728311509190846
instantaneous_100000,244.43437531953793,5.234692413229293,5.137408848822501,0.09728356440679242
instantaneous_100000,244.43937531953793,5.234703843476826,5.137419829342861,0.09728401413396526
instantaneous_100000,244.44437531953793,5.234715273642007,5.13743080936755,0.09728446427445725
instantaneous_100000,244.44937531953792,5.234726703725624,5.137441788896596,0.09728491482902779
instantaneous_100000,244.45437531953792,5.234738133728988,5.137452767930024,0.09728536579896385
instantaneous_100000,244.4593753195379,5.234749563653152,5.137463746467857,0.09728581718529483
instantaneous_100000,244.4643753195379,5.234760993499424,5.13747472451012,0.09728626898930326
instantaneous_100000,244.46937531953793,5.234772423268329,5.137485702056837,0.09728672121149184
instantaneous_100000,244.47437531953793,5.234783852961182,5.137496679108034,0.09728717385314756
instantaneous_100000,244.47937531953792,5.234795282579292,5.137507655663735,0.09728762691555648
instantaneous_100000,244.48437531953792,5.234806712123442,5.137518631723964,0.097288080399478
instantaneous_100000,244.4893753195379,5.234818141594945,5.137529607288745,0.09728853430619999
instantaneous_100000,244.4943753195379,5.234829570994852,5.137540582358104,0.0972889886367474
instantaneous_100000,244.49937531953793,5.234841000323943,5.137551556932065,0.09728944339187784
instantaneous_100000,244.50437531953793,5.2348524295835315,5.137562531010653,0.09728989857287829
instantaneous_100000,244.50937531953792,5.234863858774661,5.137573504593893,0.09729035418076837
