RADIUS_PC,VELOCITY_cgs_KMS,DENSITY_CM3,TEMP_cgs_K
5.3710937,1.6372821,7.7212806,25428.812
5.4101562,1.6465921,7.7608687,25317.264
5.4492188,1.6558818,7.8003733,25207.365
5.4882812,1.6651504,7.8398004,25099.07
5.5273437,1.6743975,7.8791562,24992.332
5.5664062,1.6836231,7.9184463,24887.109
5.6054687,1.6928272,7.9576766,24783.357
5.6445312,1.7020106,7.9968525,24681.037
5.6835937,1.7111741,8.0359794,24580.109
5.7226562,1.7203192,8.0750626,24480.534
5.7617188,1.7294475,8.114107,24382.277
5.8007812,1.7385611,8.1531175,24285.303
5.8398437,1.7476626,8.1920987,24189.576
5.8789062,1.7567547,8.2310551,24095.066
5.9179687,1.7658406,8.269991,24001.738
5.9570312,1.7749238,8.3089105,23909.564
5.9960937,1.7840082,8.3478175,23818.513
6.0351562,1.793098,8.3867156,23728.558
6.0742187,1.8021975,8.4256084,23639.67
6.1132812,1.8113113,8.4644994,23551.823
6.1523437,1.8204444,8.5033916,23464.991
6.1914062,1.8296018,8.5422882,23379.15
6.2304687,1.8387884,8.5811922,23294.275
6.2695312,1.8480096,8.6201062,23210.343
6.3085937,1.8572706,8.659033,23127.333
6.3476562,1.8665765,8.6979753,23045.221
6.3867188,1.8759325,8.7369356,22963.988
6.4257812,1.8853437,8.7759164,22883.613
6.4648437,1.8948149,8.8149202,22804.075
6.5039062,1.9043509,8.8539495,22725.357
6.5429687,1.913956,8.8930067,22647.438
6.5820312,1.9236345,8.9320944,22570.301
6.6210938,1.9333904,8.971215,22493.929
6.6601562,1.9432272,9.0103712,22418.303
6.6992187,1.9531482,9.0495655,22343.407
6.7382812,1.9631564,9.0888007,22269.225
6.7773437,1.9732546,9.1280795,22195.739
6.8164062,1.9834449,9.1674046,22122.935
6.8554687,1.9937296,9.2067788,22050.796
6.8945312,2.0041104,9.2462051,21979.308
6.9335937,2.0145888,9.2856862,21908.456
6.9726562,2.0251663,9.325225,21838.225
7.0117187,2.0358441,9.3648244,21768.599
