time_Myr,no_pressure_thermal_cgs_erg,no_pressure_kinetic_cgs_erg,no_pressure_total_cgs_erg,radiation_pressure_thermal_cgs_erg,radiation_pressure_kinetic_cgs_erg,radiation_pressure_total_cgs_erg,energy_difference_cgs_erg,relative_difference
0.000000000000000000e+00,2.038941242258835168e+48,0.000000000000000000e+00,2.038941242258835168e+48,2.038941242258835168e+48,0.000000000000000000e+00,2.038941242258835168e+48,0.000000000000000000e+00,0.000000000000000000e+00
1.999999999999999833e-01,1.022564355275545225e+49,2.398099934062256174e+48,1.262374348681770842e+49,9.881553963884375340e+48,2.442951005617396841e+48,1.232450496950177218e+49,-2.992385173159362423e+47,-2.370441997878163648e-02
3.999999999999999667e-01,1.868030129285342665e+49,4.794989669179469560e+48,2.347529096203289816e+49,1.876464380959295275e+49,4.862897352680928718e+48,2.362754116227388017e+49,1.522502002409820073e+47,6.485551147682028054e-03
5.999999999999999778e-01,2.567442376028151241e+49,6.907720669884461225e+48,3.258214443016597363e+49,2.582402152484737160e+49,6.999156276720466084e+48,3.282317780156783768e+49,2.410333714018640529e+47,7.397713551926460469e-03
7.999999999999999334e-01,3.182779494859621782e+49,9.070313828043858633e+48,4.089810877664007386e+49,3.201861418630622040e+49,9.185343696412978456e+48,4.120395788271920145e+49,3.058491060791275908e+47,7.478319052587110646e-03
1.000000000000000000e+00,3.820893660997489005e+49,1.127379957836732098e+49,4.948273618834221233e+49,3.843691291796550375e+49,1.141007459592262305e+49,4.984698751388812680e+49,3.642513255459144713e+47,7.361179950912446687e-03
