time_Myr shock_radius_kpc shock_radius_over_R200 density_ratio temperature_ratio velocity_inner_km_s velocity_outer_km_s
0 78.222431 0.8169848 1.3971678 1.8410945 -42.097836 -66.704412
100 78.222431 0.8169848 1.6937395 2.4965116 -42.032499 -73.853623
200 78.222431 0.8169848 2.1047864 3.0767569 -37.843236 -78.585081
300 79.036101 0.82548308 2.3630612 3.5781285 -41.608012 -85.868677
400 79.858235 0.83406976 2.3723646 3.766568 -44.645254 -89.901698
500 79.858235 0.83406976 2.5366798 3.5849082 -34.82027 -87.462355
600 80.688921 0.84274576 2.5138291 3.6392643 -35.547797 -89.409898
700 81.528248 0.851512 2.4936271 3.6164657 -35.668677 -90.584858
800 82.376305 0.86036943 2.4796984 3.5449339 -35.150523 -91.147264
