RADIUS_PC,VELOCITY_cgs_KMS,DENSITY_CM3,TEMP_cgs_K
5.3710937,1.7079004,7.4989566,25599.25
5.4101562,1.715138,7.5380157,25486.111
5.4492187,1.7223243,7.5770124,25374.645
5.4882812,1.7294589,7.6159527,25264.803
5.5273437,1.7365415,7.6548426,25156.54
5.5664062,1.7435719,7.693688,25049.813
5.6054687,1.7505503,7.7324946,24944.578
5.6445312,1.7574767,7.7712679,24840.795
5.6835937,1.7643517,7.8100135,24738.424
5.7226562,1.771176,7.8487365,24637.428
5.7617187,1.7779503,7.8874422,24537.769
5.8007812,1.7846757,7.9261356,24439.412
5.8398437,1.7913535,7.9648215,24342.322
5.8789062,1.7979851,8.0035047,24246.467
5.9179687,1.8045722,8.0421897,24151.814
5.9570312,1.8111169,8.0808811,24058.332
5.9960937,1.8176211,8.1195831,23965.992
6.0351562,1.8240873,8.1582999,23874.763
6.0742187,1.8305181,8.1970355,23784.62
6.1132812,1.8369162,8.2357936,23695.533
6.1523437,1.8432848,8.2745782,23607.477
6.1914062,1.849627,8.3133926,23520.426
6.2304687,1.8559463,8.3522402,23434.356
6.2695312,1.8622465,8.3911245,23349.242
6.3085937,1.8685314,8.4300483,23265.063
6.3476562,1.8748052,8.4690148,23181.795
6.3867187,1.8810722,8.5080266,23099.416
6.4257812,1.887337,8.5470864,23017.906
6.4648437,1.8936042,8.5861969,22937.244
6.5039062,1.8998788,8.6253602,22857.41
6.5429687,1.9061659,8.6645786,22778.385
6.5820312,1.9124707,8.7038543,22700.151
6.6210937,1.9187988,8.7431891,22622.689
6.6601562,1.9251556,8.782585,22545.982
6.6992187,1.9315469,8.8220435,22470.012
6.7382812,1.9379786,8.8615662,22394.764
6.7773437,1.9444566,8.9011547,22320.22
6.8164062,1.9509871,8.9408102,22246.366
6.8554687,1.9575762,8.9805341,22173.185
6.8945312,1.9642301,9.0203274,22100.664
6.9335937,1.9709553,9.0601913,22028.786
6.9726562,1.977758,9.1001267,21957.539
7.0117187,1.9846447,9.1401346,21886.909
7.0507812,1.9916218,9.1802158,21816.882
7.0898437,1.9986958,9.2203711,21747.444
7.1289062,2.005873,9.2606014,21678.583
7.1679687,2.0131599,9.3009073,21610.287
7.2070312,2.0205628,9.3412895,21542.543
7.2460937,2.0280881,9.3817489,21475.339
7.2851562,2.035742,9.422286,21408.663
7.3242187,2.0435305,9.4629017,21342.504
7.3632812,2.0514598,9.5035966,21276.85
7.4023437,2.0595357,9.5443716,21211.69
7.4414062,2.067764,9.5852275,21147.013
7.4804687,2.0761505,9.6261651,21082.809
7.5195312,2.0847005,9.6671854,21019.066
7.5585937,2.0934194,9.7082895,20955.774
7.5976562,2.1023123,9.7494784,20892.922
7.6367187,2.1113841,9.7907534,20830.502
7.6757812,2.1206397,9.8321158,20768.501
7.7148437,2.1300834,9.8735669,20706.912
7.7539062,2.1397198,9.9151085,20645.722
7.7929687,2.1495527,9.956742,20584.923
7.8320312,2.1595862,9.9984694,20524.506
7.8710937,2.1698238,10.040293,20464.46
7.9101562,2.180269,10.082214,20404.775
7.9492187,2.1909248,10.124235,20345.443
7.9882813,2.2017943,10.166358,20286.454
8.0273437,2.21288,10.208587,20227.799
8.0664062,2.2241845,10.250923,20169.468
8.1054687,2.2357099,10.293371,20111.453
8.1445312,2.2474581,10.335931,20053.743
8.1835937,2.2594309,10.378609,19996.33
8.2226562,2.2716297,10.421407,19939.205
8.2617187,2.2840557,10.464329,19882.359
8.3007812,2.2967099,10.507378,19825.782
8.3398438,2.3095931,10.550559,19769.466
8.3789062,2.3227057,10.593875,19713.402
8.4179688,2.336048,10.63733,19657.58
8.4570312,2.3496201,10.68093,19601.992
8.4960938,2.3634216,10.724678,19546.63
8.5351562,2.3774523,10.768579,19491.483
8.5742187,2.3917115,10.812639,19436.543
8.6132812,2.4061982,10.856861,19381.801
8.6523437,2.4209113,10.901252,19327.249
8.6914062,2.4358496,10.945816,19272.876
8.7304687,2.4510115,10.99056,19218.676
8.7695312,2.4663952,11.035488,19164.637
8.8085937,2.4819987,11.080607,19110.752
8.8476562,2.49782,11.125923,19057.012
8.8867187,2.5138565,11.171442,19003.407
8.9257812,2.5301059,11.21717,18949.929
8.9648438,2.5465653,11.263114,18896.568
9.0039062,2.5632319,11.30928,18843.314
9.0429688,2.5801025,11.355675,18790.16
9.0820312,2.597174,11.402307,18737.096
9.1210938,2.6144429,11.449183,18684.112
9.1601562,2.6319058,11.496309,18631.198
9.1992187,2.649559,11.543694,18578.346
9.2382812,2.6673988,11.591345,18525.546
