RADIUS_PC,VELOCITY_KMS,DENSITY_CM3,TEMP_K
10.371094,2.4730982,12.52758,16967.608
10.410156,2.4942674,12.568992,16915.287
10.449219,2.5155397,12.611001,16862.634
10.488281,2.5369189,12.653629,16809.628
10.527344,2.5584092,12.696903,16756.251
10.566406,2.5800151,12.740848,16702.482
10.605469,2.6017415,12.785495,16648.298
10.644531,2.6235936,12.830874,16593.678
10.683594,2.6455772,12.877017,16538.596
10.722656,2.6676984,12.92396,16483.028
10.761719,2.6899637,12.97174,16426.947
10.800781,2.7123805,13.020395,16370.324
10.839844,2.7349564,13.06997,16313.13
10.878906,2.7576997,13.12051,16255.332
10.917969,2.7806195,13.172063,16196.897
10.957031,2.8037255,13.224682,16137.789
10.996094,2.8270282,13.278425,16077.97
11.035156,2.850539,13.333352,16017.397
11.074219,2.8742702,13.389529,15956.029
11.113281,2.8982352,13.447027,15893.817
11.152344,2.9224487,13.505925,15830.711
11.191406,2.9469263,13.566307,15766.656
11.230469,2.9716856,13.628265,15701.595
11.269531,2.9967455,13.691898,15635.464
11.308594,3.0221267,13.757318,15568.193
11.347656,3.0478524,13.824645,15499.709
11.386719,3.0739478,13.894012,15429.929
11.425781,3.1004413,13.965568,15358.764
11.464844,3.1273642,14.039476,15286.116
11.503906,3.1547518,14.115918,15211.878
11.542969,3.1826438,14.195099,15135.93
11.582031,3.2110852,14.277247,15058.14
11.621094,3.2401273,14.362623,14978.361
11.660156,3.2698287,14.451521,14896.428
11.699219,3.3002574,14.544278,14812.156
11.738281,3.3314923,14.641278,14725.335
11.777344,3.3636262,14.742971,14635.727
11.816406,3.3967689,14.849879,14543.06
11.855469,3.4310519,14.962616,14447.018
11.894531,3.4666347,15.081911,14347.237
11.933594,3.5037131,15.208644,14243.29
11.972656,3.5425312,15.343882,14134.668
12.011719,3.5834,15.488945,14020.767
12.050781,3.6267278,15.645494,13900.848
12.089844,3.6730701,15.815662,13774.004
12.128906,3.7232144,16.002287,13639.087
12.167969,3.7783436,16.209334,13494.61
12.207031,3.8404279,16.442709,13338.551
12.246094,3.9132573,16.711996,13168.005
12.285156,4.005117,17.034699,12978.441
12.324219,4.1356587,17.448056,12762.015
12.363281,4.354239,18.043625,12503.585
12.402344,4.7815739,19.056868,12173.076
12.441406,5.6733694,21.092334,11710.158
12.480469,7.1989426,25.429519,10985.1
12.519531,7.9186431,32.509669,9690.7917
12.558594,7.4614795,41.294901,8567.4067
12.597656,6.9002068,49.896347,7930.7877
12.636719,6.6330505,57.605995,7308.5018
12.675781,6.5248361,64.858315,6688.3486
12.714844,6.4769779,72.021285,6114.1618
12.753906,6.4498755,79.252765,5604.1918
12.792969,6.4300348,86.595954,5158.7401
12.832031,6.4130071,94.046862,4771.5082
12.871094,6.397285,101.5841,4434.8008
12.910156,6.3823282,109.18069,4141.3338
12.949219,6.367927,116.8087,3884.7296
12.988281,6.3539918,124.44128,3659.5627
13.027344,6.3404805,132.05363,3461.2673
13.066406,6.3273713,139.62344,3286.0127
13.105469,6.3146525,147.1312,3130.5836
13.144531,6.3023173,154.56021,2992.2754
13.183594,6.2903618,161.89656,2868.8067
13.222656,6.2787842,169.12899,2758.2468
13.261719,6.2675842,176.24867,2658.9572
13.300781,6.2567624,183.24895,2569.5432
13.339844,6.2463205,190.12501,2488.8145
13.378906,6.236261,196.87361,2415.7528
13.417969,6.2265871,203.49271,2349.4856
13.457031,6.2173026,209.98118,2289.2633
13.496094,6.2084117,216.33852,2234.4415
13.535156,6.1999188,222.56462,2184.465
13.574219,6.1918285,228.65953,2138.8543
13.613281,6.184145,234.62334,2097.1948
13.652344,6.1768724,240.45609,2059.1268
13.691406,6.1700136,246.15769,2024.3366
13.730469,6.1635708,251.728,1992.5498
13.769531,6.1575446,257.16686,1963.5241
13.808594,6.1519341,262.47422,1937.0438
13.847656,6.1467365,267.65034,1912.9148
13.886719,6.1419464,272.6959,1890.9599
13.925781,6.1375562,277.61225,1871.0153
13.964844,6.1335548,282.40161,1852.9268
14.003906,6.1299282,287.06722,1836.5474
14.042969,6.126658,291.61353,1821.7347
14.082031,6.1237213,296.04623,1808.3489
14.121094,6.1210891,300.37231,1796.2513
14.160156,6.1187242,304.59992,1785.3033
14.199219,6.1165781,308.73808,1775.3645
14.238281,6.1145834,312.7961,1766.2921
14.277344,6.1126424,316.78252,1757.9376
14.316406,6.1106026,320.7032,1750.1425
14.355469,6.1082136,324.55781,1742.729
14.394531,6.105043,328.33344,1735.4814
14.433594,6.1003214,331.99271,1728.1114
14.472656,6.0926508,335.4518,1720.191
14.511719,6.0794677,338.53994,1711.0278
14.550781,6.0560615,340.9261,1699.4365
14.589844,6.0138193,341.99077,1683.3272
