time_Myr,temperature_K,density_nH_cm3,pressure_erg_cm3,gamma_eff,growth_rate_Myr_inv
0.0,1000000.0,0.001,2.93006960950764e-13,0.0,0.00147275532216129
5.0,993922.1393539343,0.0010061150269275784,2.93006960950764e-13,0.0,0.0016909156835647205
10.0,987792.7109987286,0.001012358148491427,2.93006960950764e-13,0.0,0.0017158260233307745
15.0,981610.4677782506,0.0010187340424999457,2.93006960950764e-13,0.0,0.0017414790272758333
20.0,975374.170387431,0.001025247572019246,2.93006960950764e-13,0.0,0.001767909778941407
25.0,969082.508502218,0.001031903879418448,2.93006960950764e-13,0.0,0.0017951554019661068
30.0,962734.1074574539,0.0010387083954477982,2.93006960950764e-13,0.0,0.0018232551528569528
35.0,956327.592144127,0.0010456667863759505,2.93006960950764e-13,0.0,0.0018522502550869435
40.0,949861.4512025258,0.0010527851180127362,2.9300696095076396e-13,0.0,0.001882184637807267
45.0,943334.1617824888,0.0010600697404093131,2.93006960950764e-13,0.0,0.0019131045179392812
50.0,936744.1284932968,0.0010675273744266184,2.93006960950764e-13,0.0,0.001945058823894695
55.0,930089.7053480292,0.0010751651096125305,2.93006960950764e-13,0.0,0.001978099251699569
60.0,923369.1197852672,0.0010829905165472217,2.93006960950764e-13,0.0,0.002012280820229357
65.0,916580.5639319388,0.001091011569905224,2.93006960950764e-13,0.0,0.00204766161204623
70.0,909722.1749918697,0.001099236698290813,2.93006960950764e-13,0.0,0.0020843089627305593
75.0,902791.89504703,0.0011076749863244023,2.9300696095076406e-13,0.0,0.0021223126549953833
80.0,895787.6801575846,0.0011163359601285012,2.93006960950764e-13,0.0,0.002161718829104024
85.0,888707.3881862274,0.0011252297587408505,2.93006960950764e-13,0.0,0.0022026015164495778
90.0,881548.7016571874,0.0011343672767257678,2.93006960950764e-13,0.0,0.0022450921488415027
95.0,874309.2024450006,0.0011437601219379892,2.93006960950764e-13,0.0,0.002289234931601135
100.0,866982.2614479092,0.0011534261362279128,2.93006960950764e-13,0.0,0.0034528533793830823
105.0,859531.7180078337,0.0011634241983736616,2.93006960950764e-13,0.0,0.0037079930734925364
110.0,851941.9028277503,0.0011737889598819097,2.93006960950764e-13,0.0,0.0038109223012522046
115.0,844205.7819794138,0.0011845453103333345,2.93006960950764e-13,0.0,0.003919694143248998
120.0,836316.5249704538,0.0011957195274065987,2.9300696095076396e-13,0.0,0.004034858443856623
125.0,828266.4588502543,0.0012073409339648199,2.93006960950764e-13,0.0,0.004157065241593153
130.0,820047.2875033735,0.0012194418727296701,2.93006960950764e-13,0.0,0.004286898720527871
135.0,811650.0189583832,0.0012320581243666234,2.93006960950764e-13,0.0,0.004425102548454771
140.0,803064.8049421882,0.0012452295180237526,2.93006960950764e-13,0.0,0.004572511362046954
145.0,794281.0204886907,0.0012590002457628137,2.93006960950764e-13,0.0,0.00473017603059773
150.0,785286.9495028469,0.0012734198634436554,2.93006960950764e-13,0.0,0.00489907726449503
155.0,776069.7700735761,0.0012885439409722065,2.93006960950764e-13,0.0,0.005080470596955588
160.0,766615.4633788854,0.0013044349452494264,2.9300696095076406e-13,0.0,0.005275882567222318
165.0,756908.3749679187,0.0013211638727638397,2.93006960950764e-13,0.0,0.006595306677931931
170.0,746868.6192991051,0.001338923572580201,2.93006960950764e-13,0.0,0.008589557726552555
175.0,736388.2377250781,0.0013579793222788252,2.93006960950764e-13,0.0,0.009106220110713728
180.0,725419.0695673932,0.001378513526803692,2.93006960950764e-13,0.0,0.009688979400125917
185.0,713904.9116237672,0.0014007467713389355,2.93006960950764e-13,0.0,0.010350933321672045
190.0,701778.54762903,0.0014249509384100098,2.93006960950764e-13,0.0,0.011107567636820161
195.0,688958.8744562602,0.0014514654460169622,2.93006960950764e-13,0.0,0.011983918024278917
200.0,675346.4004750459,0.0014807215960529134,2.93006960950764e-13,0.0,0.013010114102573704
205.0,660817.4249498963,0.0015132772869538371,2.93006960950764e-13,0.0,0.014228531243886062
210.0,645198.65255493,0.0015499102424347724,2.93006960950764e-13,0.0,0.01639203568145559
215.0,628243.2850877852,0.0015917400531551542,2.93006960950764e-13,0.0,0.01835925900805898
220.0,609652.0501821602,0.0016402798935904607,2.9300696095076396e-13,0.0,0.020862975473829412
225.0,589007.4370864213,0.001697771432134356,2.93006960950764e-13,0.0,0.024156968516505877
230.0,565727.6028761991,0.001767635156771438,2.93006960950764e-13,0.0,0.021206001122462185
235.0,539609.7055903428,0.0018531912781405255,2.93006960950764e-13,0.0,0.024934220018062832
240.0,509997.86043353355,0.001960792539697972,2.9300696095076406e-13,0.0,0.03025358758065525
245.0,475569.79519260715,0.0021027407756100177,2.93006960950764e-13,0.0,0.03596000703687427
250.0,434219.2008113011,0.0023029842948713145,2.9300696095076406e-13,0.0,0.05079276359631662
255.0,377341.6685743751,0.002650118137702826,2.93006960950764e-13,0.0,0.1342993821489801
260.0,203481.14096957797,0.004914460353598606,2.93006960950764e-13,0.0,0.4369304685618656
265.0,7125.623639368538,0.14033859358991047,2.93006960950764e-13,0.0,-1.158945137410026
270.0,7096.156875767626,0.1409213490494917,2.9300696095076406e-13,0.0,-1.1579380319424601
275.0,7096.066141581014,0.1409231509470117,2.93006960950764e-13,0.0,-1.1579349294899828
280.0,7096.0661526651775,0.14092315072688757,2.93006960950764e-13,0.0,-1.1579349298689832
285.0,7096.065905177253,0.1409231556418332,2.93006960950764e-13,0.0,-1.1579349214066335
290.0,7096.065842526268,0.14092315688604015,2.93006960950764e-13,0.0,-1.1579349192644093
295.0,7096.065943622747,0.14092315487833124,2.9300696095076406e-13,0.0,-1.1579349227211995
300.0,7096.065957690222,0.14092315459896051,2.9300696095076396e-13,0.0,-1.1579349232022083
305.0,7096.065965172565,0.14092315445036616,2.9300696095076396e-13,0.0,-1.157934923458052
310.0,7096.065961619828,0.14092315452092116,2.93006960950764e-13,0.0,-1.1579349233365734
315.0,7096.0659602066635,0.14092315454898566,2.93006960950764e-13,0.0,-1.1579349232882528
320.0,7096.065960049347,0.14092315455210985,2.93006960950764e-13,0.0,-1.1579349232828737
325.0,7096.06595989203,0.14092315455523408,2.93006960950764e-13,0.0,-1.157934923277495
330.0,7096.065959734714,0.14092315455835827,2.93006960950764e-13,0.0,-1.1579349232721154
335.0,7096.065959577397,0.1409231545614825,2.9300696095076406e-13,0.0,-1.1579349232667364
340.0,7096.065959420081,0.1409231545646067,2.93006960950764e-13,0.0,-1.1579349232613574
345.0,7096.0659592627635,0.14092315456773089,2.93006960950764e-13,0.0,-1.1579349232559781
350.0,7096.065959105447,0.14092315457085508,2.93006960950764e-13,0.0,-1.157934923250599
355.0,7096.06595894813,0.1409231545739793,2.9300696095076406e-13,0.0,-1.15793492324522
360.0,7096.065958790814,0.1409231545771035,2.93006960950764e-13,0.0,-1.1579349232398408
365.0,7096.065958633497,0.14092315458022772,2.9300696095076406e-13,0.0,-1.1579349232344618
370.0,7096.065958476181,0.14092315458335192,2.9300696095076406e-13,0.0,-1.1579349232290828
375.0,7096.0659583188635,0.1409231545864761,2.93006960950764e-13,0.0,-1.1579349232237033
380.0,7096.065958161547,0.1409231545896003,2.93006960950764e-13,0.0,-1.1579349232183245
385.0,7096.06595800423,0.14092315459272453,2.93006960950764e-13,0.0,-1.157934923212945
390.0,7096.065957846914,0.14092315459584873,2.9300696095076406e-13,0.0,-1.157934923207566
395.0,7096.065957689597,0.14092315459897292,2.93006960950764e-13,0.0,-1.157934923202187
400.0,7096.065957537808,0.14092315460198737,2.93006960950764e-13,0.0,-1.1579349231969969
405.0,7096.065957542092,0.14092315460190227,2.93006960950764e-13,0.0,-1.1579349231971434
410.0,7096.065957546378,0.14092315460181717,2.9300696095076406e-13,0.0,-1.15793492319729
415.0,7096.0659575506625,0.14092315460173208,2.93006960950764e-13,0.0,-1.1579349231974365
420.0,7096.065957554948,0.14092315460164698,2.93006960950764e-13,0.0,-1.157934923197583
