time_Myr,temperature_K,density_nH_cm3,pressure_erg_cm3,gamma_eff,growth_rate_Myr_inv
0.0,100000.0,0.01,2.93006960950764e-13,0.0,1.8736389868507786
5.0,7106.671542546199,0.1407128490479971,2.93006960950764e-13,0.0,-1.1582972890486793
10.0,7096.098900647445,0.14092250037675777,2.9300696095076396e-13,0.0,-1.1579360496175308
15.0,7096.06602428029,0.14092315327652605,2.9300696095076406e-13,0.0,-1.1579349254791211
20.0,7096.066226445179,0.14092314926166585,2.93006960950764e-13,0.0,-1.1579349323917416
25.0,7096.0659291732745,0.14092315516528814,2.9300696095076396e-13,0.0,-1.1579349222271287
30.0,7096.065926743574,0.1409231552135404,2.9300696095076406e-13,0.0,-1.1579349221440502
35.0,7096.065841689579,0.14092315690265625,2.9300696095076406e-13,0.0,-1.1579349192358004
40.0,7096.06584921691,0.14092315675316847,2.93006960950764e-13,0.0,-1.157934919493182
45.0,7096.065948691354,0.14092315477767206,2.93006960950764e-13,0.0,-1.1579349228945102
50.0,7096.065954423691,0.14092315466383165,2.9300696095076406e-13,0.0,-1.157934923090516
55.0,7096.065960344007,0.14092315454625812,2.9300696095076406e-13,0.0,-1.157934923292949
60.0,7096.065964759925,0.1409231544585609,2.93006960950764e-13,0.0,-1.1579349234439427
65.0,7096.065962585107,0.14092315450175136,2.93006960950764e-13,0.0,-1.157934923369579
70.0,7096.065960410289,0.14092315454494178,2.93006960950764e-13,0.0,-1.1579349232952156
75.0,7096.065958923732,0.14092315457446383,2.93006960950764e-13,0.0,-1.1579349232443856
80.0,7096.065958875797,0.1409231545754158,2.93006960950764e-13,0.0,-1.1579349232427465
85.0,7096.065958827863,0.14092315457636773,2.93006960950764e-13,0.0,-1.1579349232411074
90.0,7096.065958779928,0.1409231545773197,2.93006960950764e-13,0.0,-1.1579349232394687
95.0,7096.065958731993,0.14092315457827165,2.9300696095076406e-13,0.0,-1.1579349232378295
100.0,7096.065958684058,0.14092315457922358,2.9300696095076396e-13,0.0,-1.1579349232361904
105.0,7096.065958636124,0.14092315458017554,2.9300696095076406e-13,0.0,-1.1579349232345515
110.0,7096.0659585881895,0.14092315458112747,2.93006960950764e-13,0.0,-1.1579349232329124
115.0,7096.0659585402545,0.14092315458207944,2.93006960950764e-13,0.0,-1.1579349232312737
120.0,7096.06595849232,0.1409231545830314,2.93006960950764e-13,0.0,-1.1579349232296345
125.0,7096.065958444386,0.14092315458398333,2.93006960950764e-13,0.0,-1.1579349232279954
130.0,7096.065958396451,0.1409231545849353,2.93006960950764e-13,0.0,-1.1579349232263563
135.0,7096.065958348516,0.14092315458588725,2.9300696095076406e-13,0.0,-1.1579349232247176
140.0,7096.065958300581,0.1409231545868392,2.9300696095076406e-13,0.0,-1.1579349232230784
145.0,7096.065958252647,0.14092315458779114,2.9300696095076406e-13,0.0,-1.1579349232214393
150.0,7096.065958204712,0.1409231545887431,2.9300696095076406e-13,0.0,-1.1579349232198002
155.0,7096.065958156777,0.14092315458969504,2.93006960950764e-13,0.0,-1.157934923218161
160.0,7096.065958108842,0.140923154590647,2.93006960950764e-13,0.0,-1.1579349232165224
165.0,7096.065958060908,0.14092315459159893,2.9300696095076396e-13,0.0,-1.1579349232148832
170.0,7096.065958012973,0.1409231545925509,2.93006960950764e-13,0.0,-1.157934923213244
175.0,7096.065957965038,0.14092315459350285,2.93006960950764e-13,0.0,-1.157934923211605
180.0,7096.065957917103,0.1409231545944548,2.93006960950764e-13,0.0,-1.1579349232099658
185.0,7096.065957869169,0.14092315459540675,2.93006960950764e-13,0.0,-1.1579349232083271
190.0,7096.065957821234,0.1409231545963587,2.93006960950764e-13,0.0,-1.157934923206688
195.0,7096.0659577732995,0.14092315459731067,2.93006960950764e-13,0.0,-1.1579349232050489
200.0,7096.065957725365,0.1409231545982626,2.9300696095076396e-13,0.0,-1.1579349232034097
205.0,7096.065957677431,0.14092315459921456,2.9300696095076406e-13,0.0,-1.157934923201771
210.0,7096.065957629496,0.1409231546001665,2.93006960950764e-13,0.0,-1.157934923200132
215.0,7096.065957581561,0.14092315460111846,2.93006960950764e-13,0.0,-1.1579349231984928
220.0,7096.065957560332,0.14092315460154003,2.93006960950764e-13,0.0,-1.1579349231977671
225.0,7096.065957562337,0.14092315460150023,2.93006960950764e-13,0.0,-1.1579349231978355
230.0,7096.065957564342,0.1409231546014604,2.93006960950764e-13,0.0,-1.1579349231979041
235.0,7096.065957566347,0.1409231546014206,2.9300696095076406e-13,0.0,-1.1579349231979725
240.0,7096.065957568351,0.1409231546013808,2.93006960950764e-13,0.0,-1.1579349231980411
245.0,7096.065957570357,0.14092315460134097,2.9300696095076406e-13,0.0,-1.1579349231981098
250.0,7096.065957572361,0.14092315460130117,2.93006960950764e-13,0.0,-1.1579349231981781
255.0,7096.065957574367,0.14092315460126134,2.9300696095076406e-13,0.0,-1.1579349231982468
260.0,7096.065957576371,0.1409231546012215,2.9300696095076396e-13,0.0,-1.1579349231983154
265.0,7096.065957578377,0.14092315460118168,2.93006960950764e-13,0.0,-1.1579349231983838
270.0,7096.065957580381,0.14092315460114188,2.93006960950764e-13,0.0,-1.1579349231984524
275.0,7096.065957582387,0.14092315460110205,2.93006960950764e-13,0.0,-1.157934923198521
280.0,7096.065957584391,0.14092315460106225,2.93006960950764e-13,0.0,-1.1579349231985894
285.0,7096.0659575863965,0.14092315460102242,2.93006960950764e-13,0.0,-1.1579349231986584
290.0,7096.065957588401,0.14092315460098262,2.93006960950764e-13,0.0,-1.1579349231987268
295.0,7096.0659575904065,0.1409231546009428,2.93006960950764e-13,0.0,-1.1579349231987954
300.0,7096.065957592411,0.140923154600903,2.93006960950764e-13,0.0,-1.157934923198864
305.0,7096.065957594416,0.14092315460086316,2.9300696095076406e-13,0.0,-1.1579349231989324
310.0,7096.065957596421,0.14092315460082336,2.93006960950764e-13,0.0,-1.157934923199001
315.0,7096.065957598426,0.14092315460078353,2.9300696095076406e-13,0.0,-1.1579349231990697
320.0,7096.065957600431,0.1409231546007437,2.93006960950764e-13,0.0,-1.157934923199138
325.0,7096.065957602436,0.1409231546007039,2.9300696095076406e-13,0.0,-1.1579349231992067
330.0,7096.065957604441,0.14092315460066407,2.93006960950764e-13,0.0,-1.157934923199275
335.0,7096.065957606446,0.14092315460062424,2.93006960950764e-13,0.0,-1.1579349231993437
340.0,7096.065957608451,0.14092315460058444,2.93006960950764e-13,0.0,-1.1579349231994123
345.0,7096.065957610455,0.14092315460054464,2.93006960950764e-13,0.0,-1.1579349231994807
350.0,7096.065957612461,0.1409231546005048,2.93006960950764e-13,0.0,-1.1579349231995493
355.0,7096.065957614465,0.140923154600465,2.93006960950764e-13,0.0,-1.1579349231996179
360.0,7096.065957616471,0.14092315460042518,2.93006960950764e-13,0.0,-1.1579349231996863
365.0,7096.065957617034,0.140923154600414,2.93006960950764e-13,0.0,-1.1579349231997058
370.0,7096.065957617106,0.14092315460041258,2.93006960950764e-13,0.0,-1.1579349231997083
375.0,7096.065957617177,0.14092315460041113,2.93006960950764e-13,0.0,-1.1579349231997105
380.0,7096.06595761725,0.1409231546004097,2.93006960950764e-13,0.0,-1.1579349231997131
385.0,7096.065957617322,0.14092315460040827,2.9300696095076406e-13,0.0,-1.1579349231997156
390.0,7096.065957617394,0.14092315460040683,2.93006960950764e-13,0.0,-1.1579349231997182
395.0,7096.065957617467,0.1409231546004054,2.93006960950764e-13,0.0,-1.1579349231997205
400.0,7096.0659576175385,0.14092315460040397,2.9300696095076406e-13,0.0,-1.157934923199723
405.0,7096.06595761761,0.14092315460040253,2.93006960950764e-13,0.0,-1.1579349231997256
410.0,7096.065957617683,0.14092315460040108,2.9300696095076396e-13,0.0,-1.1579349231997282
415.0,7096.065957617755,0.14092315460039967,2.93006960950764e-13,0.0,-1.1579349231997302
420.0,7096.065957617827,0.14092315460039825,2.9300696095076406e-13,0.0,-1.157934923199733
425.0,7096.065957617899,0.1409231546003968,2.93006960950764e-13,0.0,-1.1579349231997356
430.0,7096.065957617971,0.14092315460039537,2.93006960950764e-13,0.0,-1.1579349231997376
435.0,7096.065957618043,0.14092315460039395,2.9300696095076406e-13,0.0,-1.1579349231997402
440.0,7096.065957618115,0.1409231546003925,2.93006960950764e-13,0.0,-1.157934923199743
445.0,7096.065957618188,0.14092315460039107,2.93006960950764e-13,0.0,-1.1579349231997453
450.0,7096.06595761826,0.14092315460038965,2.93006960950764e-13,0.0,-1.1579349231997476
455.0,7096.065957618332,0.1409231546003882,2.9300696095076396e-13,0.0,-1.1579349231997502
460.0,7096.065957618404,0.14092315460038676,2.93006960950764e-13,0.0,-1.1579349231997527
465.0,7096.065957618476,0.14092315460038535,2.93006960950764e-13,0.0,-1.1579349231997553
470.0,7096.065957618548,0.1409231546003839,2.93006960950764e-13,0.0,-1.1579349231997575
475.0,7096.06595761862,0.1409231546003825,2.93006960950764e-13,0.0,-1.15793492319976
480.0,7096.065957618693,0.14092315460038105,2.9300696095076406e-13,0.0,-1.1579349231997627
485.0,7096.0659576187645,0.14092315460037963,2.93006960950764e-13,0.0,-1.1579349231997649
490.0,7096.065957618836,0.1409231546003782,2.93006960950764e-13,0.0,-1.1579349231997673
495.0,7096.065957618909,0.14092315460037674,2.93006960950764e-13,0.0,-1.15793492319977
500.0,7096.065957618981,0.14092315460037533,2.93006960950764e-13,0.0,-1.1579349231997724
