time_Myr,temperature_cgs_K,density_nH_cgs_cm3,pressure_cgs_erg_cm3,gamma_eff,growth_rate_Myr_inv
0.0,1000000.0,0.0001,2.93006960950764e-14,0.0,0.00014426258909594827
5.0,999421.2028212663,0.00010005791323789208,2.93006960950764e-14,0.0,0.00014693211641401117
10.0,998841.9516943604,0.0001001159390936349,2.9300696095076394e-14,0.0,0.0001496052857088785
15.0,998262.2391404554,0.00010017407859291972,2.9300696095076394e-14,0.0,0.00015228213696503965
20.0,997682.0604942577,0.00010023233248321555,2.93006960950764e-14,0.0,0.00015496269725881001
25.0,997101.4198973404,0.00010029070062932596,2.93006960950764e-14,0.0,0.00015764695300616487
30.0,996520.3173497033,0.00010034918331214271,2.93006960950764e-14,0.0,0.00015986198237084086
35.0,995938.7528513465,0.00010040778081353158,2.93006960950764e-14,0.0,0.00016008865206792845
40.0,995356.7210087886,0.00010046649396072852,2.93006960950764e-14,0.0,0.00016031563647532366
45.0,994774.2177772347,0.00010052532344821341,2.9300696095076406e-14,0.0,0.00016054293764658972
50.0,994191.2482185651,0.00010058426905204037,2.93006960950764e-14,0.0,0.00016077055408359348
55.0,993607.8123327799,0.00010064333105958704,2.9300696095076394e-14,0.0,0.00016099848626296645
60.0,993023.9101198788,0.0001007025097592342,2.93006960950764e-14,0.0,0.00016122754908060822
65.0,992439.5356911834,0.00010076180603824405,2.93006960950764e-14,0.0,0.00016145801112504334
70.0,991854.6866118569,0.00010082122043663142,2.9300696095076406e-14,0.0,0.00016168879626685576
75.0,991269.3645983458,0.00010088075307413457,2.93006960950764e-14,0.0,0.0001619199043197416
80.0,990683.5686284871,0.00010094040434973709,2.93006960950764e-14,0.0,0.00016215133617939945
85.0,990097.2976801173,0.00010100017466395329,2.93006960950764e-14,0.0,0.00016238309274381943
90.0,989510.5500522058,0.00010106006448816951,2.93006960950764e-14,0.0,0.0001626165500044002
95.0,988923.325022157,0.00010112007419560003,2.93006960950764e-14,0.0,0.00016285088575981744
100.0,988335.6217440264,0.0001011802041734963,2.93006960950764e-14,0.0,0.0001630855517236642
105.0,987747.4391824952,0.00010124045482999638,2.93006960950764e-14,0.0,0.00016332054881612016
110.0,987158.7763022447,0.00010130082657481471,2.93006960950764e-14,0.0,0.0001635558779597352
115.0,986569.6320679561,0.0001013613198192501,2.93006960950764e-14,0.0,0.00016379162637221412
120.0,985980.005444311,0.00010142193497619368,2.93006960950764e-14,0.0,0.00016402957896596168
125.0,985389.8953959905,0.00010148267246013704,2.93006960950764e-14,0.0,0.00016426786916884896
130.0,984799.3008876757,0.0001015435326871803,2.93006960950764e-14,0.0,0.00016450649792074172
135.0,984208.2208840484,0.00010160451607504019,2.93006960950764e-14,0.0,0.00016474546616394498
140.0,983616.6543497895,0.00010166562304305844,2.9300696095076406e-14,0.0,0.0001649847748432171
145.0,983024.6002495805,0.00010172685401220984,2.93006960950764e-14,0.0,0.00016522525780607083
150.0,982432.0575481025,0.00010178820940511068,2.93006960950764e-14,0.0,0.00016546724008379476
155.0,981839.0248706058,0.00010184968968123747,2.93006960950764e-14,0.0,0.00016570956863174016
160.0,981245.4975713603,0.00010191129564161651,2.93006960950764e-14,0.0,0.00016595224588938443
165.0,980651.4776678896,0.0001019730273978808,2.93006960950764e-14,0.0,0.00016619527157540933
170.0,980056.9640641146,0.00010203488538596628,2.93006960950764e-14,0.0,0.00016643864668300698
175.0,979461.9556639564,0.0001020968700435252,2.9300696095076394e-14,0.0,0.00016668406734699555
180.0,978866.4513713355,0.00010215898180993512,2.9300696095076406e-14,0.0,0.00016693016821877252
185.0,978270.4500901733,0.00010222122112630753,2.93006960950764e-14,0.0,0.00016717662442969556
190.0,977673.9507243905,0.00010228358843549708,2.93006960950764e-14,0.0,0.00016742343699177698
195.0,977076.9521779078,0.00010234608418211039,2.93006960950764e-14,0.0,0.0001676706069197016
200.0,976479.4533546465,0.00010240870881251519,2.93006960950764e-14,0.0,0.00016791875709682835
205.0,975881.4531585273,0.00010247146277484944,2.93006960950764e-14,0.0,0.00016816870052673613
210.0,975282.950493471,0.00010253434651903047,2.93006960950764e-14,0.0,0.00016841900737168424
215.0,974683.9442633986,0.00010259736049676427,2.93006960950764e-14,0.0,0.00016866967866566984
220.0,974084.4333722312,0.00010266050516155467,2.93006960950764e-14,0.0,0.00016892071544544212
