time_Myr,temperature_cgs_K,density_nH_cgs_cm3,pressure_cgs_erg_cm3,gamma_eff,growth_rate_Myr_inv
0.0,100000.0,0.001,2.93006960950764e-14,0.0,0.17449208645865433
5.0,19941.890976219536,0.005014569587169481,2.9300696095076406e-14,0.0,-1.5208847423352354
10.0,9353.27430220487,0.010691443099923495,2.93006960950764e-14,0.0,-0.4982978113890784
15.0,8992.81217662031,0.011119992059878885,2.93006960950764e-14,0.0,-0.49935672631290884
20.0,8963.105887561926,0.01115684688482479,2.93006960950764e-14,0.0,-0.49944853926115096
25.0,8960.660050604003,0.011159892177056688,2.93006960950764e-14,0.0,-0.4994561469133381
30.0,8960.45850634852,0.011160143192354456,2.93006960950764e-14,0.0,-0.4994567738991573
35.0,8960.441525217966,0.011160164342188202,2.93006960950764e-14,0.0,-0.4994568267265518
40.0,8960.440521876371,0.011160165591842955,2.93006960950764e-14,0.0,-0.49945682984789724
45.0,8960.44023032973,0.011160165954962255,2.93006960950764e-14,0.0,-0.4994568307548844
50.0,8960.440074679578,0.011160166148823439,2.93006960950764e-14,0.0,-0.4994568312391042
55.0,8960.439993043812,0.011160166250500222,2.93006960950764e-14,0.0,-0.499456831493069
60.0,8960.440075569775,0.011160166147714706,2.93006960950764e-14,0.0,-0.4994568312363349
65.0,8960.4401243388,0.011160166086973223,2.93006960950764e-14,0.0,-0.49945683108461686
70.0,8960.440151519862,0.011160166053119397,2.93006960950764e-14,0.0,-0.49945683100005794
75.0,8960.440169219748,0.011160166031074312,2.93006960950764e-14,0.0,-0.4994568309449945
80.0,8960.440168887277,0.011160166031488403,2.93006960950764e-14,0.0,-0.4994568309460288
85.0,8960.440168549312,0.011160166031909335,2.9300696095076394e-14,0.0,-0.4994568309470802
90.0,8960.44016817949,0.011160166032369948,2.93006960950764e-14,0.0,-0.4994568309482307
95.0,8960.440167809667,0.011160166032830559,2.93006960950764e-14,0.0,-0.4994568309493812
100.0,8960.440167439845,0.01116016603329117,2.93006960950764e-14,0.0,-0.49945683095053167
105.0,8960.440167070023,0.011160166033751782,2.93006960950764e-14,0.0,-0.4994568309516822
110.0,8960.4401667002,0.011160166034212392,2.93006960950764e-14,0.0,-0.49945683095283266
115.0,8960.440166330378,0.011160166034673003,2.93006960950764e-14,0.0,-0.4994568309539832
120.0,8960.440165960557,0.011160166035133612,2.93006960950764e-14,0.0,-0.49945683095513366
125.0,8960.440165590735,0.011160166035594223,2.93006960950764e-14,0.0,-0.4994568309562842
130.0,8960.440165220913,0.011160166036054835,2.93006960950764e-14,0.0,-0.49945683095743465
135.0,8960.44016485109,0.011160166036515446,2.93006960950764e-14,0.0,-0.4994568309585852
140.0,8960.440164481268,0.011160166036976057,2.93006960950764e-14,0.0,-0.49945683095973564
145.0,8960.440164111445,0.011160166037436667,2.93006960950764e-14,0.0,-0.49945683096088617
150.0,8960.440163741625,0.011160166037897276,2.93006960950764e-14,0.0,-0.49945683096203664
155.0,8960.440163371803,0.011160166038357889,2.93006960950764e-14,0.0,-0.4994568309631871
160.0,8960.44016300198,0.0111601660388185,2.93006960950764e-14,0.0,-0.49945683096433763
165.0,8960.440162632158,0.01116016603927911,2.93006960950764e-14,0.0,-0.49945683096548815
170.0,8960.440162262335,0.011160166039739723,2.93006960950764e-14,0.0,-0.4994568309666386
175.0,8960.440161892513,0.011160166040200334,2.93006960950764e-14,0.0,-0.49945683096778914
180.0,8960.44016152269,0.011160166040660944,2.93006960950764e-14,0.0,-0.4994568309689396
185.0,8960.44016115287,0.011160166041121553,2.93006960950764e-14,0.0,-0.4994568309700901
190.0,8960.440160783048,0.011160166041582164,2.93006960950764e-14,0.0,-0.4994568309712406
195.0,8960.440160413225,0.011160166042042776,2.93006960950764e-14,0.0,-0.49945683097239113
200.0,8960.440160173817,0.011160166042340956,2.93006960950764e-14,0.0,-0.4994568309731359
205.0,8960.440160166154,0.0111601660423505,2.93006960950764e-14,0.0,-0.49945683097315974
210.0,8960.440160158492,0.011160166042360043,2.93006960950764e-14,0.0,-0.49945683097318355
215.0,8960.44016015083,0.011160166042369586,2.93006960950764e-14,0.0,-0.4994568309732074
220.0,8960.440160143167,0.01116016604237913,2.93006960950764e-14,0.0,-0.49945683097323124
225.0,8960.440160135506,0.011160166042388673,2.93006960950764e-14,0.0,-0.4994568309732551
230.0,8960.440160127844,0.011160166042398216,2.93006960950764e-14,0.0,-0.4994568309732789
235.0,8960.44016012018,0.01116016604240776,2.93006960950764e-14,0.0,-0.49945683097330273
240.0,8960.44016011252,0.011160166042417303,2.93006960950764e-14,0.0,-0.4994568309733266
245.0,8960.440160104858,0.011160166042426846,2.93006960950764e-14,0.0,-0.4994568309733504
250.0,8960.440160097196,0.011160166042436389,2.93006960950764e-14,0.0,-0.49945683097337423
255.0,8960.440160089533,0.011160166042445933,2.93006960950764e-14,0.0,-0.4994568309733981
260.0,8960.440160081871,0.011160166042455476,2.93006960950764e-14,0.0,-0.4994568309734219
265.0,8960.44016007421,0.011160166042465018,2.93006960950764e-14,0.0,-0.4994568309734458
270.0,8960.440160066546,0.011160166042474563,2.93006960950764e-14,0.0,-0.4994568309734696
275.0,8960.440160058884,0.011160166042484106,2.93006960950764e-14,0.0,-0.49945683097349347
280.0,8960.440160051223,0.011160166042493647,2.9300696095076394e-14,0.0,-0.49945683097351734
285.0,8960.440160043561,0.01116016604250319,2.93006960950764e-14,0.0,-0.49945683097354115
290.0,8960.440160035898,0.011160166042512734,2.9300696095076394e-14,0.0,-0.499456830973565
295.0,8960.440160028236,0.011160166042522277,2.93006960950764e-14,0.0,-0.49945683097358884
300.0,8960.440160020575,0.01116016604253182,2.93006960950764e-14,0.0,-0.49945683097361265
305.0,8960.440160012911,0.011160166042541364,2.93006960950764e-14,0.0,-0.4994568309736365
310.0,8960.44016000525,0.011160166042550906,2.93006960950764e-14,0.0,-0.49945683097366034
315.0,8960.440160002328,0.011160166042554546,2.93006960950764e-14,0.0,-0.49945683097366944
320.0,8960.440160002938,0.011160166042553786,2.93006960950764e-14,0.0,-0.4994568309736675
325.0,8960.440160003547,0.011160166042553028,2.93006960950764e-14,0.0,-0.4994568309736656
330.0,8960.440160004156,0.011160166042552268,2.93006960950764e-14,0.0,-0.4994568309736637
335.0,8960.440160004766,0.01116016604255151,2.93006960950764e-14,0.0,-0.4994568309736618
340.0,8960.440160005375,0.01116016604255075,2.93006960950764e-14,0.0,-0.49945683097365995
345.0,8960.440160005985,0.011160166042549992,2.93006960950764e-14,0.0,-0.49945683097365806
350.0,8960.440160006594,0.011160166042549232,2.93006960950764e-14,0.0,-0.4994568309736562
355.0,8960.440160007203,0.011160166042548473,2.93006960950764e-14,0.0,-0.49945683097365423
360.0,8960.44016000781,0.011160166042547716,2.93006960950764e-14,0.0,-0.49945683097365234
365.0,8960.44016000842,0.011160166042546958,2.93006960950764e-14,0.0,-0.49945683097365046
370.0,8960.44016000903,0.011160166042546198,2.93006960950764e-14,0.0,-0.49945683097364857
375.0,8960.440160009639,0.01116016604254544,2.93006960950764e-14,0.0,-0.4994568309736466
380.0,8960.440160010248,0.01116016604254468,2.93006960950764e-14,0.0,-0.4994568309736448
385.0,8960.440160010858,0.011160166042543922,2.93006960950764e-14,0.0,-0.4994568309736429
390.0,8960.440160011467,0.011160166042543163,2.93006960950764e-14,0.0,-0.49945683097364096
395.0,8960.440160012076,0.011160166042542405,2.93006960950764e-14,0.0,-0.4994568309736391
400.0,8960.440160012686,0.011160166042541645,2.93006960950764e-14,0.0,-0.4994568309736372
405.0,8960.440160013295,0.011160166042540887,2.93006960950764e-14,0.0,-0.4994568309736353
410.0,8960.440160013904,0.011160166042540127,2.93006960950764e-14,0.0,-0.49945683097363336
415.0,8960.440160014512,0.01116016604253937,2.93006960950764e-14,0.0,-0.49945683097363147
420.0,8960.440160015121,0.01116016604253861,2.93006960950764e-14,0.0,-0.49945683097362964
425.0,8960.44016001573,0.011160166042537853,2.93006960950764e-14,0.0,-0.49945683097362775
430.0,8960.44016001634,0.011160166042537093,2.93006960950764e-14,0.0,-0.4994568309736258
435.0,8960.44016001695,0.011160166042536335,2.93006960950764e-14,0.0,-0.4994568309736239
440.0,8960.440160017559,0.011160166042535575,2.93006960950764e-14,0.0,-0.49945683097362203
445.0,8960.440160018168,0.011160166042534817,2.93006960950764e-14,0.0,-0.4994568309736201
450.0,8960.440160018778,0.011160166042534057,2.9300696095076394e-14,0.0,-0.4994568309736182
455.0,8960.440160019387,0.011160166042533299,2.93006960950764e-14,0.0,-0.4994568309736164
460.0,8960.440160019996,0.011160166042532539,2.9300696095076394e-14,0.0,-0.4994568309736145
465.0,8960.440160020606,0.011160166042531781,2.93006960950764e-14,0.0,-0.49945683097361254
470.0,8960.440160021215,0.011160166042531021,2.93006960950764e-14,0.0,-0.49945683097361065
475.0,8960.440160021823,0.011160166042530265,2.93006960950764e-14,0.0,-0.49945683097360877
480.0,8960.440160022432,0.011160166042529507,2.93006960950764e-14,0.0,-0.4994568309736069
485.0,8960.440160023041,0.011160166042528747,2.93006960950764e-14,0.0,-0.49945683097360494
490.0,8960.44016002365,0.011160166042527989,2.93006960950764e-14,0.0,-0.49945683097360305
495.0,8960.44016002426,0.01116016604252723,2.93006960950764e-14,0.0,-0.4994568309736012
500.0,8960.44016002487,0.011160166042526471,2.93006960950764e-14,0.0,-0.4994568309735993
