time_Myr shock_radius_kpc shock_radius_over_R200 density_ratio temperature_ratio velocity_inner_km_s velocity_outer_km_s
0 113.98978 0.82548308 1.3585291 2.120126 -70.67315 -102.31845
100 112.81627 0.8169848 1.7066606 3.0505516 -60.516124 -107.29322
200 112.81627 0.8169848 2.1808563 4.2078544 -55.391743 -115.97042
300 113.98978 0.82548308 2.4504834 5.325094 -63.356245 -127.13452
400 113.98978 0.82548308 2.6848117 5.2937001 -52.400676 -127.49197
500 115.17551 0.83406976 2.6339689 5.6986942 -56.719798 -132.54553
600 116.37356 0.84274576 2.5585083 5.7816133 -60.63812 -136.04584
700 117.58408 0.851512 2.4946683 5.70119 -63.958404 -138.73481
800 118.80719 0.86036943 2.4466488 5.5592126 -66.523628 -140.89106
